,Time block,Operation,Terminal,Delay
0,1,Departure,1,-7.0
1,6,Departure,1,-8.0
2,6,Departure,1,4.0
3,6,Departure,1,-2.0
4,6,Departure,1,-9.0
5,6,Departure,2,-3.0
6,6,Departure,1,-2.0
7,6,Departure,1,-8.0
8,6,Departure,2,5.0
9,6,Departure,1,2.0
10,6,Departure,2,0.0
11,6,Departure,2,5.0
12,6,Departure,1,0.0
13,6,Departure,2,14.0
14,6,Departure,1,-1.0
15,6,Departure,2,6.0
16,6,Departure,2,-6.0
17,6,Departure,2,-1.0
18,6,Departure,1,1.0
19,6,Departure,1,3.0
20,6,Departure,2,-1.0
21,6,Departure,1,3.0
22,6,Departure,2,19.0
23,6,Departure,1,-7.0
24,6,Departure,2,-3.0
25,6,Departure,1,-1.0
26,6,Departure,1,17.0
27,6,Departure,1,-7.0
28,6,Departure,2,-3.0
29,6,Departure,1,9.0
30,7,Departure,1,-5.0
31,7,Departure,1,3.0
32,7,Departure,1,-6.0
33,7,Departure,1,0.0
34,7,Departure,1,3.0
35,7,Departure,1,-5.0
36,7,Departure,1,1.0
37,7,Departure,1,0.0
38,7,Departure,1,0.0
39,7,Departure,1,0.0
40,7,Departure,1,3.0
41,7,Departure,1,4.0
42,7,Departure,1,-3.0
43,7,Departure,1,-3.0
44,7,Departure,1,-1.0
45,7,Departure,1,4.0
46,7,Departure,2,1.0
47,7,Departure,1,7.0
48,7,Departure,1,4.0
49,7,Departure,2,16.0
50,7,Departure,1,-11.0
51,7,Departure,1,7.0
52,7,Departure,1,48.0
53,7,Departure,1,-1.0
54,7,Departure,2,-4.0
55,7,Departure,1,-2.0
56,7,Departure,2,-4.0
57,7,Departure,1,0.0
58,7,Departure,1,7.0
59,7,Departure,1,34.0
60,7,Departure,2,2.0
61,7,Departure,1,-7.0
62,7,Departure,1,-5.0
63,7,Departure,1,-4.0
64,7,Departure,1,4.0
65,7,Departure,2,0.0
66,7,Departure,1,-4.0
67,7,Departure,1,0.0
68,8,Departure,2,-2.0
69,8,Departure,1,-1.0
70,8,Departure,1,33.0
71,8,Departure,1,1.0
72,8,Departure,2,-6.0
73,8,Departure,1,0.0
74,8,Departure,1,-2.0
75,8,Departure,2,0.0
76,8,Departure,1,-1.0
77,8,Departure,1,-1.0
78,8,Departure,2,-12.0
79,8,Departure,1,-1.0
80,8,Departure,1,-7.0
81,8,Departure,1,96.0
82,8,Departure,1,-7.0
83,8,Departure,2,-8.0
84,9,Departure,2,-9.0
85,9,Departure,2,0.0
86,9,Departure,2,26.0
87,9,Departure,2,7.0
88,9,Departure,1,-8.0
89,9,Departure,2,0.0
90,9,Departure,1,-4.0
91,9,Departure,1,1.0
92,9,Departure,1,-3.0
93,9,Departure,2,24.0
94,9,Departure,2,0.0
95,9,Departure,1,8.0
96,9,Departure,2,17.0
97,9,Departure,1,-1.0
98,9,Departure,1,-9.0
99,9,Departure,1,-5.0
100,9,Departure,1,-4.0
101,9,Departure,1,-6.0
102,9,Departure,1,81.0
103,9,Departure,2,7.0
104,9,Departure,2,9.0
105,9,Departure,1,-1.0
106,9,Departure,1,-7.0
107,9,Departure,1,3.0
108,9,Departure,1,-3.0
109,9,Departure,2,27.0
110,9,Departure,1,3.0
111,9,Departure,2,-2.0
112,9,Departure,2,-1.0
113,9,Departure,1,57.0
114,9,Departure,1,-12.0
115,9,Departure,1,10.0
116,9,Departure,1,19.0
117,9,Departure,1,11.0
118,10,Departure,2,-2.0
119,10,Departure,2,0.0
120,10,Departure,1,37.0
121,10,Departure,1,4.0
122,10,Departure,2,26.0
123,10,Departure,1,3.0
124,10,Departure,1,-4.0
125,10,Departure,1,0.0
126,10,Departure,1,46.0
127,10,Departure,1,6.0
128,10,Departure,2,0.0
129,10,Departure,1,2.0
130,10,Departure,1,0.0
131,10,Departure,1,-2.0
132,10,Departure,2,-10.0
133,10,Departure,2,-8.0
134,10,Departure,1,4.0
135,10,Departure,2,-1.0
136,10,Departure,1,-1.0
137,10,Departure,1,12.0
138,10,Departure,2,-7.0
139,10,Departure,1,0.0
140,10,Departure,2,-1.0
141,10,Departure,1,1.0
142,10,Departure,1,-3.0
143,10,Departure,1,-4.0
144,10,Departure,2,8.0
145,10,Departure,2,8.0
146,10,Departure,1,27.0
147,10,Departure,2,-11.0
148,11,Departure,1,-2.0
149,11,Departure,1,5.0
150,11,Departure,2,12.0
151,11,Departure,1,4.0
152,11,Departure,1,3.0
153,11,Departure,2,6.0
154,11,Departure,1,88.0
155,11,Departure,1,64.0
156,11,Departure,1,-2.0
157,11,Departure,1,6.0
158,11,Departure,1,-2.0
159,11,Departure,2,30.0
160,11,Departure,1,4.0
161,11,Departure,1,11.0
162,11,Departure,1,2.0
163,11,Departure,2,3.0
164,11,Departure,1,3.0
165,11,Departure,1,18.0
166,11,Departure,1,0.0
167,11,Departure,1,4.0
168,11,Departure,2,-1.0
169,11,Departure,1,-2.0
170,11,Departure,1,-4.0
171,11,Departure,1,14.0
172,11,Departure,1,13.0
173,11,Departure,2,29.0
174,11,Departure,1,14.0
175,11,Departure,1,6.0
176,11,Departure,2,16.0
177,11,Departure,1,14.0
178,11,Departure,1,16.0
179,11,Departure,1,-5.0
180,11,Departure,1,-3.0
181,11,Departure,1,19.0
182,11,Departure,1,5.0
183,11,Departure,1,-2.0
184,12,Departure,2,14.0
185,12,Departure,1,484.0
186,12,Departure,1,44.0
187,12,Departure,1,15.0
188,12,Departure,1,-5.0
189,12,Departure,1,-3.0
190,12,Departure,1,3.0
191,12,Departure,1,-1.0
192,12,Departure,1,0.0
193,12,Departure,1,26.0
194,12,Departure,1,27.0
195,12,Departure,1,4.0
196,12,Departure,1,9.0
197,12,Departure,1,3.0
198,12,Departure,1,5.0
199,12,Departure,2,75.0
200,12,Departure,2,-7.0
201,12,Departure,1,2.0
202,12,Departure,1,13.0
203,12,Departure,2,5.0
204,12,Departure,1,-1.0
205,12,Departure,1,6.0
206,12,Departure,1,10.0
207,12,Departure,1,3.0
208,12,Departure,2,4.0
209,12,Departure,2,0.0
210,12,Departure,1,-1.0
211,13,Departure,1,2.0
212,13,Departure,1,-6.0
213,13,Departure,2,-6.0
214,13,Departure,2,-2.0
215,13,Departure,1,-1.0
216,13,Departure,1,2.0
217,13,Departure,2,16.0
218,13,Departure,1,-6.0
219,13,Departure,1,1.0
220,13,Departure,2,10.0
221,13,Departure,1,25.0
222,13,Departure,2,110.0
223,13,Departure,2,-4.0
224,13,Departure,1,3.0
225,13,Departure,2,-1.0
226,13,Departure,1,28.0
227,13,Departure,2,0.0
228,14,Departure,2,-3.0
229,14,Departure,1,-9.0
230,14,Departure,1,11.0
231,14,Departure,1,-3.0
232,14,Departure,1,7.0
233,14,Departure,2,-7.0
234,14,Departure,1,-5.0
235,14,Departure,1,-4.0
236,14,Departure,1,0.0
237,14,Departure,1,-1.0
238,14,Departure,2,9.0
239,14,Departure,1,0.0
240,14,Departure,2,3.0
241,14,Departure,1,-7.0
242,14,Departure,1,75.0
243,14,Departure,1,25.0
244,14,Departure,1,-2.0
245,14,Departure,2,-3.0
246,14,Departure,1,42.0
247,14,Departure,2,29.0
248,14,Departure,2,3.0
249,14,Departure,1,8.0
250,14,Departure,2,-7.0
251,14,Departure,1,203.0
252,15,Departure,1,2.0
253,15,Departure,1,5.0
254,15,Departure,2,-10.0
255,15,Departure,1,1.0
256,15,Departure,2,0.0
257,15,Departure,2,37.0
258,15,Departure,1,0.0
259,15,Departure,1,0.0
260,15,Departure,1,9.0
261,15,Departure,1,23.0
262,15,Departure,2,43.0
263,15,Departure,1,0.0
264,15,Departure,1,38.0
265,15,Departure,2,0.0
266,15,Departure,1,11.0
267,15,Departure,1,17.0
268,15,Departure,1,1.0
269,15,Departure,1,24.0
270,15,Departure,2,12.0
271,15,Departure,1,-2.0
272,15,Departure,2,-7.0
273,15,Departure,2,-4.0
274,15,Departure,1,-1.0
275,15,Departure,1,3.0
276,15,Departure,1,-1.0
277,15,Departure,1,12.0
278,16,Departure,1,-1.0
279,16,Departure,1,22.0
